vault_address,vault_name,vault_total_usd,chain_id,market_unique_key,collateral_symbol,loan_symbol,lltv,supply_assets,supply_assets_usd,supply_cap,is_toxic_market
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,4039.5820969139263,1,0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,deUSD,USDC,9.15e+17,None,0.0,None,True
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,4039.5820969139263,1,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,sdeUSD,USDC,9.15e+17,None,0.07049405990913234,None,True
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,4039.5820969139263,1,0xcce802466ea61ec62007fe60d7b4370a10e765f9f223592790b2b7178abb9383,PT-sdeUSD-1753142406,USDC,9.15e+17,None,0.0,None,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,4039.5820969139263,1,0x4ef32e4877329436968f4a29b0c8285531d113dad29b727d88beafe5ed45be6a,PT-sdeUSD-1753142406,USDC,9.15e+17,None,0.0006608693141194826,None,False
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,4039.5820969139263,1,0x54efdee08e272e929034a8f26f7ca34b1ebe364b275391169b28c6d7db24dbc8,?,USDC,0.0,None,4039.510941984703,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0xfae6c3fca4d2fe61c62d29541e84a728b660a0dbc99217750c1080a8fc7d0e45,PT-eUSDE-14AUG2025,USDC,9.15e+17,None,0.0,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0xd9e34b1eed46d123ac1b69b224de1881dbc88798bc7b70f504920f62f58f28cc,wstUSR,USDC,9.15e+17,None,98063.39041584062,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0xe161f2204b2d5a356a91c324e1a77d791da217fdec6b52a84b5b9e0b56516413,PT-USR-4SEP2025,USDC,9.15e+17,None,0.0,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0xa02ad0cf521ba5e5b20d1bcb98043eb091807e2b3bf26df5aad1ad154a3b8d45,PT-RLP-4DEC2025,USDC,8.6e+17,None,1907598.9348271957,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,deUSD,USDC,9.15e+17,None,0.0,None,True
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0xb48bb53f0f2690c71e8813f2dc7ed6fca9ac4b0ace3faa37b4a8e5ece38fa1a2,USD0++,USDC,8.6e+17,None,0.0,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0x05702edf1c4709808b62fe65a7d082dccc9386f858ae460ef207ec8dd1debfa2,PT-sUSDE-27NOV2025,USDC,9.15e+17,None,0.0,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0x27852bb453d4fe6ec918dd27b7136bb233d210aab1758a59ed8daaeec24f7b3d,PT-sUSDE-27FEB2025,USDC,9.15e+17,None,0.0,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0xbbf7ce1b40d32d3e3048f5cf27eeaa6de8cb27b80194690aab191a63381d8c99,siUSD,USDC,9.15e+17,None,0.0,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0x79b4e55cef9e7c214b5cc965e1984229ada26a66051e35366a75c4d92b776735,PT-srUSDe-15JAN2026,USDC,9.15e+17,None,0.0,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,sdeUSD,USDC,9.15e+17,None,0.0,None,True
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0xcce802466ea61ec62007fe60d7b4370a10e765f9f223592790b2b7178abb9383,PT-sdeUSD-1753142406,USDC,9.15e+17,None,0.0,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0x864c9b82eb066ae2c038ba763dfc0221001e62fc40925530056349633eb0a259,USD0USD0++,USDC,8.6e+17,None,0.0,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0x8a71a66ac828c2b6d4f8accce5859aba0822b502f3833bec4aff09479affffdb,PT-cUSDO-20NOV2025,USDC,9.15e+17,None,7291024.182326122,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0x3e37bd6e02277f15f93cd7534ce039e60d19d9298f4d1bc6a3a4f7bf64de0a1c,PT-sUSDE-25SEP2025,USDC,9.15e+17,None,0.0,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0x64d65c9a2d91c36d56fbc42d69e979335320169b3df63bf92789e2c8883fcc64,cbBTC,USDC,8.6e+17,None,0.017327573499250758,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0xbfed072faee09b963949defcdb91094465c34c6c62d798b906274ef3563c9cac,srUSD,USDC,9.15e+17,None,4998981.9426434105,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0xaaef8ad6dff96217212b72dbe0d45b3f3af0c255e9b1596c018caf635869db97,PT-wstUSR-29JAN2026,USDC,9.15e+17,None,0.20652715957493686,None,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,40369673.20740554,1,0xeec6c7e2ddb7578f2a7d86fc11cf9da005df34452ad9b9189c51266216f5d71b,PT-wstUSR-25SEP2025,USDC,9.15e+17,None,72553.99931431412,None,False
