id,timestamp,date,datetime,hash,block_number,caller,type,assets,shares,vault_address,vault_name,chain_id,chain,market_unique_key,collateral_symbol,loan_symbol,lltv
1dc6c3c0-99b0-4c64-9440-f5d9e20a9552,1762531739,2025-11-07,2025-11-07 16:08,0xe485f85d50c35e1ed9129be60f8c3cf44d9a1d46c1328706206612d2c364e416,23748488,0x22C512699FC71ADC08596c6AB1c2a56bced36fF6,ReallocateSupply,206894969349,192250962042595993,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,1,ethereum,0xe1b65304edd8ceaea9b629df4c3c926a37d1216e27900505c04f14b2ed279f33,RLP,USDC,8.6e+17
8ffc3019-e109-4906-980b-c5029dc0d5bf,1762480967,2025-11-07,2025-11-07 02:02,0xb7d2d8c168e0471968c92632f2d62f21450c97ca3e9ed9bf65330260eec4dbb7,23744287,0x4ADab708a312806C151573Ac184F3E58fb34ea4B,ReallocateSupply,62187831,56980191229087,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,1,ethereum,0xa59b6c3c6d1df322195bfb48ddcdcca1a4c0890540e8ee75815765096c1e8971,USD0USD0++,USDC,9.65e+17
765d6044-01b7-4ae6-8f70-da7ef237732d,1762480967,2025-11-07,2025-11-07 02:02,0xb7d2d8c168e0471968c92632f2d62f21450c97ca3e9ed9bf65330260eec4dbb7,23744287,0x4ADab708a312806C151573Ac184F3E58fb34ea4B,ReallocateWithdraw,62187831,59202636528289,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,1,ethereum,0xeec6c7e2ddb7578f2a7d86fc11cf9da005df34452ad9b9189c51266216f5d71b,PT-wstUSR-25SEP2025,USDC,9.15e+17
e1803717-18f7-4b49-b1e7-74229198e893,1762473203,2025-11-06,2025-11-06 23:53,0xd83a6a925fbcffae5788c22d6b0aed775b89bc4aa25ee90843a65ded9dba9d44,23743645,0x4ADab708a312806C151573Ac184F3E58fb34ea4B,ReallocateWithdraw,141471399,135228848608270,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,1,ethereum,0x43e925e52d7873fa8acac90dd5f246087d55b3a34c344b71884a6352491ff459,fxSAVE,USDC,8.6e+17
b28ccd57-b6c3-4e6e-a4e4-a9e7eb9b7bde,1762473203,2025-11-06,2025-11-06 23:53,0xd83a6a925fbcffae5788c22d6b0aed775b89bc4aa25ee90843a65ded9dba9d44,23743645,0x4ADab708a312806C151573Ac184F3E58fb34ea4B,ReallocateSupply,141471399,129625062333489,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,1,ethereum,0xa59b6c3c6d1df322195bfb48ddcdcca1a4c0890540e8ee75815765096c1e8971,USD0USD0++,USDC,9.65e+17
05879ad3-ff35-4740-b4ae-775f6bf8a9a6,1762468163,2025-11-06,2025-11-06 22:29,0xe5e678d142cedc1d2312243b2d6d1ca6f189f307d2748832bdd3cd3e6780ac01,23743227,0x22C512699FC71ADC08596c6AB1c2a56bced36fF6,ReallocateWithdraw,37284324172,34162978948164618,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,1,ethereum,0xa59b6c3c6d1df322195bfb48ddcdcca1a4c0890540e8ee75815765096c1e8971,USD0USD0++,USDC,9.65e+17
06c36857-5cea-42cd-9a73-dfa1ff4d76b3,1762468163,2025-11-06,2025-11-06 22:29,0xe5e678d142cedc1d2312243b2d6d1ca6f189f307d2748832bdd3cd3e6780ac01,23743227,0x22C512699FC71ADC08596c6AB1c2a56bced36fF6,ReallocateWithdraw,946420995,887069912472014,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,1,ethereum,0x83b7ad16905809ea36482f4fbf6cfee9c9f316d128de9a5da1952607d5e4df5e,csUSDL,USDC,9.65e+17
e1921627-abdc-4be0-bffa-3ff1be1e5894,1762468163,2025-11-06,2025-11-06 22:29,0xe5e678d142cedc1d2312243b2d6d1ca6f189f307d2748832bdd3cd3e6780ac01,23743227,0x22C512699FC71ADC08596c6AB1c2a56bced36fF6,ReallocateSupply,42902375042,39879406138015141,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,1,ethereum,0xe1b65304edd8ceaea9b629df4c3c926a37d1216e27900505c04f14b2ed279f33,RLP,USDC,8.6e+17
bd8c60e3-b3f8-41a9-b3f8-6d972e2850a1,1762468163,2025-11-06,2025-11-06 22:29,0xe5e678d142cedc1d2312243b2d6d1ca6f189f307d2748832bdd3cd3e6780ac01,23743227,0x22C512699FC71ADC08596c6AB1c2a56bced36fF6,ReallocateWithdraw,4671629875,4238245220316028,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,1,ethereum,0x1eda1b67414336cab3914316cb58339ddaef9e43f939af1fed162a989c98bc20,USD0++,USDC,9.65e+17
47ef645c-2b81-4a3f-a4aa-1ef1a745f9dd,1762374011,2025-11-05,2025-11-05 20:20,0xe14a8344839451d1eb9073c5438eaf9d00e975ab86558603e39e383a3f5cef85,23735439,0x22C512699FC71ADC08596c6AB1c2a56bced36fF6,ReallocateSupply,11881644339,11048142149411570,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,1,ethereum,0xe1b65304edd8ceaea9b629df4c3c926a37d1216e27900505c04f14b2ed279f33,RLP,USDC,8.6e+17
