market_unique_key,chain_id,collateral_symbol,loan_symbol,collateral_price_ratio,collateral_assets,collateral_usd
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.05,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.1,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.15,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.2,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.25,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.3,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.35,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.4,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.45,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.5,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.55,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.6,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.65,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.7,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.75,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.8,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.85,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.9,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.95,0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,1.0,0,0.0
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.05,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.1,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.15,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.2,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.25,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.3,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.35,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.4,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.45,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.5,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.55,4698229384790206878497,5.501651885740717
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.6,3979657651345436408043,4.660200520010321
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.65,3979657651345436408043,4.660200520010321
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.7,3979657651345436408043,4.660200520010321
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.75,3979657651345436408043,4.660200520010321
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.8,3979657651345436408043,4.660200520010321
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.85,3979657651345436408043,4.660200520010321
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.9,3979657651345436408043,4.660200520010321
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,0.95,3979657651345436408043,4.660200520010321
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1,deUSD,USDC,1.0,3979657651345436408043,4.660200520010321
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.05,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.1,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.15,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.2,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.25,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.3,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.35,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.4,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.45,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.5,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.55,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.6,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.65,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.7,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.75,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.8,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.85,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.9,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.95,0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,1.0,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.05,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.1,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.15,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.2,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.25,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.3,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.35,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.4,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.45,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.5,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.55,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.6,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.65,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.7,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.75,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.8,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.85,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.9,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,0.95,0,0.0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,1,deUSD,USDC,1.0,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.05,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.1,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.15,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.2,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.25,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.3,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.35,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.4,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.45,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.5,0,0.0
