vault_address,vault_name,chain_id,pa_fee,market_unique_key,collateral_symbol,loan_symbol,max_in,max_out,is_toxic_market
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x79b4e55cef9e7c214b5cc965e1984229ada26a66051e35366a75c4d92b776735,PT-srUSDe-15JAN2026,USDC,3000000000000,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x7a5d67805cb78fad2596899e0c83719ba89df353b931582eb7d3041fd5a06dc8,PT-USDe-25SEP2025,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x7a7018e22a8bb2d08112eae9391e09f065a8ae7ae502c1c23dc96c21411a6efd,EIGEN,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x7e9c708876fa3816c46aeb08937b51aa0461c2af3865ecb306433db8a80b1d1b,pufETH,USDC,1884624246559,115375753441,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x8411eeb07c8e32de0b3784b6b967346a45593bfd8baeb291cc209dc195c7b3ad,PT-USD0++-27MAR2025,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x85c7f4374f3a403b36d54cc284983b2b02bbd8581ee0f3c36494447b87d9fcab,sUSDe,USDC,1248618241817,751381758183,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x864c9b82eb066ae2c038ba763dfc0221001e62fc40925530056349633eb0a259,USD0USD0++,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x8a71a66ac828c2b6d4f8accce5859aba0822b502f3833bec4aff09479affffdb,PT-cUSDO-20NOV2025,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x8b1bc4d682b04a16309a8adf77b35de0c42063a7944016cfc37a79ccac0007b6,slvlUSD,USDC,0,2000000000000,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x8d177cc2597296e8ff4816be51fe2482add89de82bdfaba3118c7948a6b2bc02,PT-sUSDE-29MAY2025,USDC,0,5000000000000,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x8e7cc042d739a365c43d0a52d5f24160fa7ae9b7e7c9a479bd02a56041d4cf77,USR,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x97bb820669a19ba5fa6de964a466292edd67957849f9631eb8b830c382f58b7f,MKR,USDC,907401392919,1092598607081,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0x9c765f69d8a8e40d2174824bc5107d05d7f0d0f81181048c9403262aeb1ab457,LINK,USDC,1000000000000,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xa02ad0cf521ba5e5b20d1bcb98043eb091807e2b3bf26df5aad1ad154a3b8d45,PT-RLP-4DEC2025,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xa3819a7d2aee958ca0e7404137d012b51ea47d051db69d94656956eff8c80c23,PT-syrupUSDC-28AUG2025,USDC,2093179854,9997906820146,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xaaef8ad6dff96217212b72dbe0d45b3f3af0c255e9b1596c018caf635869db97,PT-wstUSR-29JAN2026,USDC,200000000000,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xb323495f7e4148be5643a4ea4a8221eef163e4bccfdedc2a6f4696baacbc86cc,wstETH,USDC,1859748800692,8140251199308,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xb48bb53f0f2690c71e8813f2dc7ed6fca9ac4b0ace3faa37b4a8e5ece38fa1a2,USD0++,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xb8afc953c3cc8077b4a4bf459bede8d3f80be45ca1f244e4bca13b7b1030eed5,PT-syrupUSDC-30OCT2025,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xbc552f0b14dd6f8e60b760a534ac1d8613d3539153b4d9675d697e048f2edc7e,PT-sUSDE-31JUL2025,USDC,1288039001049,1711960998951,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xbd33e0ae076c82cfd0fa8d759ea83a296190f9f98d9f79b74a0eb4a294d8bf42,weETH,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xbf02d6c6852fa0b8247d5514d0c91e6c1fbde9a168ac3fd2033028b5ee5ce6d0,LBTC,USDC,10348401955444,9651598044556,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xcce802466ea61ec62007fe60d7b4370a10e765f9f223592790b2b7178abb9383,PT-sdeUSD-1753142406,USDC,0,500000000000,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xd925961ad5df1d12f677ff14cf20bac37ea5ef3b325d64d5a9f4c0cc013a1d47,stUSD,USDC,232587424676,1767412575324,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xd9e34b1eed46d123ac1b69b224de1881dbc88798bc7b70f504920f62f58f28cc,wstUSR,USDC,14474606959574,525393040426,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xe161f2204b2d5a356a91c324e1a77d791da217fdec6b52a84b5b9e0b56516413,PT-USR-4SEP2025,USDC,1619105625356,5380894374644,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xe1b65304edd8ceaea9b629df4c3c926a37d1216e27900505c04f14b2ed279f33,RLP,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xe4cfbee9af4ad713b41bf79f009ca02b17c001a0c0e7bd2e6a89b1111b3d3f08,tBTC,USDC,12218664929369,7781335070631,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xe95187ba4e7668ab4434bbb17d1dfd7b87e878242eee3e73dac9fdb79a4d0d99,EIGEN,USDC,0,0,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xeec6c7e2ddb7578f2a7d86fc11cf9da005df34452ad9b9189c51266216f5d71b,PT-wstUSR-25SEP2025,USDC,4872375229509,2127624770491,False
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,1,0,0xfae6c3fca4d2fe61c62d29541e84a728b660a0dbc99217750c1080a8fc7d0e45,PT-eUSDE-14AUG2025,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x27852bb453d4fe6ec918dd27b7136bb233d210aab1758a59ed8daaeec24f7b3d,PT-sUSDE-27FEB2025,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x346afa2b6d528222a2f9721ded6e7e2c40ac94877a598f5dae5013c651d2a462,PT-sUSDE-27MAR2025,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x3a85e619751152991742810df6ec69ce473daef99e28a64ab2340d7b7ccfee49,WBTC,USDC,6176886996764,3823113003236,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x64d65c9a2d91c36d56fbc42d69e979335320169b3df63bf92789e2c8883fcc64,cbBTC,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x65d5c83561b2ef3084732e26408332ec10ff2fffa1a31fc19a5fdffd009684e7,sFRAX,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x729badf297ee9f2f6b3f717b96fd355fc6ec00422284ce1968e76647b258cf44,syrupUSDC,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x85c7f4374f3a403b36d54cc284983b2b02bbd8581ee0f3c36494447b87d9fcab,sUSDe,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x864c9b82eb066ae2c038ba763dfc0221001e62fc40925530056349633eb0a259,USD0USD0++,USDC,1428909807146,8571090192854,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x8b1bc4d682b04a16309a8adf77b35de0c42063a7944016cfc37a79ccac0007b6,slvlUSD,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x8d177cc2597296e8ff4816be51fe2482add89de82bdfaba3118c7948a6b2bc02,PT-sUSDE-29MAY2025,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0x97bb820669a19ba5fa6de964a466292edd67957849f9631eb8b830c382f58b7f,MKR,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0xa3819a7d2aee958ca0e7404137d012b51ea47d051db69d94656956eff8c80c23,PT-syrupUSDC-28AUG2025,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0xb323495f7e4148be5643a4ea4a8221eef163e4bccfdedc2a6f4696baacbc86cc,wstETH,USDC,10705552058092,9294447941908,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0xb48bb53f0f2690c71e8813f2dc7ed6fca9ac4b0ace3faa37b4a8e5ece38fa1a2,USD0++,USDC,0,10000000000000,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0xbc552f0b14dd6f8e60b760a534ac1d8613d3539153b4d9675d697e048f2edc7e,PT-sUSDE-31JUL2025,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0xd8cb3574ec8bc5b4dcec68f87dd3a57c4ed73b0f2dc712da212f8198eb93dc1f,PT-sUSDE-26DEC2024,USDC,747657074838,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0xd925961ad5df1d12f677ff14cf20bac37ea5ef3b325d64d5a9f4c0cc013a1d47,stUSD,USDC,0,0,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0xe1b65304edd8ceaea9b629df4c3c926a37d1216e27900505c04f14b2ed279f33,RLP,USDC,4002671681543,997328318457,False
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,1,0,0xfae6c3fca4d2fe61c62d29541e84a728b660a0dbc99217750c1080a8fc7d0e45,PT-eUSDE-14AUG2025,USDC,1699853088552,300146911448,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x03157b7411956c938c497a28d3d2efdc2761a6f659a0397b29285766f7b9bc0c,tacUSD,USDC,0,2000000000000,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x03f715ef1ae508ab3e1faf4dffdbf2a077d1f0ad10c5aad42cf4438d5e3328af,PT-stcUSD-29JAN2026,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,sdeUSD,USDC,0,0,True
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x147390b94333d30c4bd51c8e79e8f90f6e827e3ea97ecbfe2dc52a1ea67aa008,PT-AIDaUSDT-14AUG2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x185df29d35001b5657c9c964284ddbeee83a40c83e6c6e89432463e2157e075c,PT-lvlUSD-29MAY2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x1ca75949a91c157183f53282d73c37191e7cd84002310f6632047d874aad4a0f,PT-mHYPER-20NOV2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x1eda1b67414336cab3914316cb58339ddaef9e43f939af1fed162a989c98bc20,USD0++,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x21e55c99123958ff5667f824948c97d0f64dfaa6e2848062e72bc68d200d35f9,PT-eUSDE-29MAY2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x27b9a0a5bfee98a31eb51e3850250d103a9f8e41673c782defc66aa943af0e65,PT-srUSDe-2APR2026,USDC,230000555281,769999444719,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x2a9a5c436719badcfadbad3ad8e8179a160ded758603eaa03a883f922a1790d3,PT-sNUSD-5MAR2026,USDC,2000000000000,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x2afd063a5af8e050069cfad4da95c81768b85b140bea2bd89e00407b15ce82c8,PT-jrUSDe-2APR2026,USDC,1360130126807,639869873193,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x33778d3d3bfe5a6e2678e2aeecca65b819b594b3f646b6cdb0a245bbbbcb3a7f,PT-alUSD-11DEC2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x3bdb58058b41bb700458ba3df317e254244ddec7fc35fec93d2d53475cc6ebdc,PT-syrupUSDC-28AUG2025,USDC,0,3000000000000,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x3f246a31d3583a4c0ab8d83ea46907b188b8b463edb1c45af62b6265335084ee,Wrapped-LP-srUSDe-15JAN2026,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x4005ba6eb7d2221fe58102bd320aa6d83c47b212771bc950ab71c5074d9ab0ec,PT-slvlUSD-25SEP2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x51c6fa2e3ab990af15e95a8c91e93482d7a87068c60133e1c7e8000f91ec7618,mHyperBTC,USDC,537906060215,462093939785,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x54cebd0c5d5ad84f551a883991c39c470e081a20452eaef47eec2377ffae9f98,jrUSDe,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x5d4eacdc8dd5a5b0315a344936d2c9fb01c291c2547d901660eed558e7347316,PT-pUSDe-16OCT2025,USDC,660708631726,1339291368274,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x60154d71ec96b7aee2864326662cb731172f1ebd6ca0e64af9bc8659831ed0ff,yUSD,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x645fba729787a172a49f1661c53a4de57d69c522ba9bb3f2d1fcef0923f9189a,PT-pUSDe-16OCT2025,USDC,4593926360267,406073639733,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x6fbd29fb416fe156140d5ffee7aa64cfa0fcfda7e2b0fe8147e311ef6bba0a2b,PT-tUSDe-18DEC2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x729badf297ee9f2f6b3f717b96fd355fc6ec00422284ce1968e76647b258cf44,syrupUSDC,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x79b4e55cef9e7c214b5cc965e1984229ada26a66051e35366a75c4d92b776735,PT-srUSDe-15JAN2026,USDC,1994527220195,5472779805,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x7a5d67805cb78fad2596899e0c83719ba89df353b931582eb7d3041fd5a06dc8,PT-USDe-25SEP2025,USDC,2038446995630,1961553004370,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x7b6129564616bf5c2390d7c2b202d48fb1798146bdb4b90eb0dad035607a32ec,Wrapped-LP-jrUSDe-15JAN2026,USDC,2000000000000,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x802ec6e878dc9fe6905b8a0a18962dcca10440a87fa2242fbf4a0461c7b0c789,PT-cUSD-29JAN2026,USDC,970398183959,29601816041,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x83b7ad16905809ea36482f4fbf6cfee9c9f316d128de9a5da1952607d5e4df5e,csUSDL,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x8a71a66ac828c2b6d4f8accce5859aba0822b502f3833bec4aff09479affffdb,PT-cUSDO-20NOV2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x8b1bc4d682b04a16309a8adf77b35de0c42063a7944016cfc37a79ccac0007b6,slvlUSD,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x8d177cc2597296e8ff4816be51fe2482add89de82bdfaba3118c7948a6b2bc02,PT-sUSDE-29MAY2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x95c28d447950ca6c8bbfd25fc05b80b1fd7a1cdd17a3610b4b3f1ffc8dc2e2ed,mHYPER,USDC,1690737589535,2309262410465,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0x9de73bf59b4b09f9b974081c30a2570174f212ea62de8da777c7770a4832ae72,mHYPER,USDC,1921696107940,78303892060,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0xa3819a7d2aee958ca0e7404137d012b51ea47d051db69d94656956eff8c80c23,PT-syrupUSDC-28AUG2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0xa59b6c3c6d1df322195bfb48ddcdcca1a4c0890540e8ee75815765096c1e8971,USD0USD0++,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0xb23a77bb62863186a99c7e87d1a4f542cb8865eec6536206f0960bb9c00512f5,jrUSDe,USDC,1996319549580,3680450420,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0xb3e1073bd0f794b671d967d6cc9fb4d2c228093ddcbcacfd98c4f95169cf9299,ctStableUSDT,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0xb79a07659c64f0d471663f0629bab0997206bebb31ecbd4c750e1dd7fa7bc09a,Wrapped-LP-pUSDe-16OCT2025,USDC,1077970484632,1922029515368,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0xb8afc953c3cc8077b4a4bf459bede8d3f80be45ca1f244e4bca13b7b1030eed5,PT-syrupUSDC-30OCT2025,USDC,0,0,False
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,1,0,0xbbf7ce1b40d32d3e3048f5cf27eeaa6de8cb27b80194690aab191a63381d8c99,siUSD,USDC,1298783693596,1701216306404,False
