hash,timestamp,date,datetime,block_number,type,user_address,market_unique_key,assets,assets_usd,shares,seized_assets,seized_assets_usd,bad_debt_assets,bad_debt_assets_usd,liquidator
0x09b2398f6ae7f286901b6037978e185a9c49f27c8b74b3635a3a052300da1bef,1760433670,2025-10-14,2025-10-14 09:21,33330130,MarketSupplyCollateral,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,5933000000000,,,,,,,
0x48f17aca541e051decf010e0db9a2fe71d8a3fa7a3356a2c6a97207892cc4f24,1760433690,2025-10-14,2025-10-14 09:21,33330175,MarketBorrow,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,10000000000,,9931376718566163,,,,,
0x95249c1f3122c3184800f9514a8711b2129a79c4783b0b827e7837b957654c65,1760433794,2025-10-14,2025-10-14 09:23,33330393,MarketBorrow,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,10000000000000,,9931374724283233460,,,,,
0x4c15f5d0e8649e57e74f07097f6c5f386fd3e244116ee7aca1a40be2400113ca,1760501907,2025-10-15,2025-10-15 04:18,33460864,MarketSupplyCollateral,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,8000000000000,,,,,,,
0xb1a326d8e154f7ff2edb8b4d60055b4ae2aa02b6054dcef7dc36b007ca5268ba,1760502068,2025-10-15,2025-10-15 04:21,33461173,MarketBorrow,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,7000000000000,,6950741897478322511,,,,,
0x9751ef987e4b231ce043f086485f818a58534fcb9333bbe71de0c3ab8ef10fba,1761092090,2025-10-22,2025-10-22 00:14,34531623,MarketSupply,0xaF8d3FC487261b04256a1CC433856cc808EEb070,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,750110000000,,741329177154946174,,,,,
0x9966c1d2f5da3650d5b0fc2039fc5cc733fcaa692f2fd20b45172c1746875305,1761092624,2025-10-22,2025-10-22 00:23,34532739,MarketSupply,0xaF8d3FC487261b04256a1CC433856cc808EEb070,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,6750142000000,,6671097327490069656,,,,,
0x9b1be5a9b0d6f29c55d12d02ea4a8ddcc7a92d8345e24a615147542a31bbbd72,1761147465,2025-10-22,2025-10-22 15:37,34654872,MarketWithdraw,0xaF8d3FC487261b04256a1CC433856cc808EEb070,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,250819290000,,247838902676229237,,,,,
0xc1ccd607b4cd72ce3974b360dc0b323eec9aa58b447303855f09c21fa0508bcf,1761185256,2025-10-23,2025-10-23 02:07,34711062,MarketSupplyCollateral,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,7196000000000,,,,,,,
0x8dd1610b1c848cc5340001aab55313272b0c7b0fe49306fa3d530a548a366627,1761185667,2025-10-23,2025-10-23 02:14,34711986,MarketBorrow,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,5000000000000,,4937547531646630242,,,,,
0xd9b544cf1ccbea4156fac2a274f1e215a92ada9904821413c72802271c1295ee,1761250463,2025-10-23,2025-10-23 20:14,34860994,MarketBorrow,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,2000000000000,,1974374808350448028,,,,,
