user_address,market_unique_key,chain_id,collateral_symbol,loan_symbol,health_factor,lltv_raw,oracle_price_raw,collateral_raw,collateral_usd,borrow_assets_raw,borrow_assets_usd,supply_assets_raw,supply_assets_usd,position_type
0x73A5cAcD96Ec124C84A520f115543847b7a8d95e,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,122606237761,122593.76364576232,supplier
0x81136654A5D75F0F8Bc96281C5B7237813b0fE27,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,1839109144222,1838922.0309085287,supplier
0x8Be46b25d59616e594f0A9e20147fb14c1B989d9,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,676921,0.6768521291928126,supplier
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,3,2.999694776168028e-06,supplier
0x8eD0dAD74299d62d7B0D2a8d6d57959F3D6e171B,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,55376858,55.37122388773289,supplier
0x94643e86aa5E38DDAc6c7791C1297f4E40cD96c1,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,1467396809151,1467247.5143252958,supplier
0xad6452a9b8F10b0fE084C83c396ABAe96411C761,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,1226357392720,1226232.6215524091,supplier
0xb0DebcB643eE79f19Ef659Bd01D0FAC12d058604,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,30481375,30.478273785972913,supplier
0xcDCf2b6F97dE9fD66D0a4B47bc633f437Df0D106,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,613648853345,613586.4199268323,supplier
0xd63070114470f685b75B74D60EEc7c1113d33a3D,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,1,sdeUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,15873742980143,15872127.965256289,supplier
0x000000000000000000000000000000000000dEaD,0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,1,deUSD,USDC,0.0,915000000000000000,0.0,0,0.0,0,0.0,1043,0.0010428938838477513,supplier
0x000000000000000000000000000000000000dEaD,0x39fe55e5102beac5fb3caff54142f26250b97dcdb5bea6122818c7760f38b331,1,xUSD,USDC,0.0,770000000000000000,1.26609e+36,0,0.0,0,0.0,1052,0.0010518929681762551,supplier
