market_id,chain,chain_id,collateral_symbol,supply_at_depeg,borrow_at_depeg,peak_supply_oct_nov,supply_now
0x9e90aec7d768403dacc9dd0d8320307fda3f980eed4df43e3e52168a1c667709,Arbitrum,42161,xUSD,13797863.025769603,12883136.68229821,26182607.169662926,5320574.232301929
0x39fe55e5102beac5fb3caff54142f26250b97dcdb5bea6122818c7760f38b331,ethereum,1,xUSD,0.101816649594,0.091819629594,0.10297159021429611,0.1064417658476581
0x7c03103c24ccfa9188bf41a8d44423cf5492645805eb1d23d9f862717d3fe5ab,Arbitrum,42161,xUSD,0.500857198907,0.500357348407,578.2176110396146,3.9806641200200175
0xeb0403429dabb5829047fb5c05dcaa816a41d164424341db7d10cc5dd86a967d,ethereum,1,deUSD,0.0,0.0,0.0,0.0
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,ethereum,1,sdeUSD,1652856.8275073515,1411726.012800898,26225738.236011818,59469318.44613672
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,Plume,98866,sdeUSD,0.0,0.0,0.0,0.0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,Plume,98866,xUSD,0.0,0.0,0.0,0.0
0x8d009383866dffaac5fe25af684e93f8dd5a98fed1991c298624ecc3a860f39f,Plume,98866,sdeUSD,9997187.260264583,4986492.674123615,11824850.940174058,0.0
0xf62889596262da8f0745617b3c45f2b300f44774c17877cbb6f025ee99ca782c,Plume,98866,deUSD,0.0,0.0,0.0,0.0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,ethereum,1,deUSD,2.089589116824,0.9331128494819999,2.0898361305,1.0445980054890809
0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,ethereum,1,sdeUSD,0.0,0.0,0.0,0.0
0x226a59cd57c8c75ddaf440e2be68b92dbf8dafaed6a715290d0789d1fdc521c2,ethereum,1,deUSD,0.0,0.0,0.0,0.0
0x46b46943e982bf04f7b07ff37c95b539e35ccd8cf93c331cd9659398aa8f7bee,ethereum,1,sdeUSD,0.000999702,0.0,0.0009999993465075623,0.0019998640822865
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,ethereum,1,deUSD,10.059107492412,7.759792892412,10.068230420483259,10.07512925919976
0x7527be7772eb6e2e6bd9a5a9cc83dcd67fd1c9e6103d09868d0308eb3b70af2c,ethereum,1,deUSD,0.0,0.0,0.0,0.0
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,ethereum,1,deUSD,3163.1812400035983,128.88326633787,3164.177503232579,9401.256334945716
0xc05394d0261ed1c3c1af310007fdc4e64b3bcf650822b70526763fefc64b729e,ethereum,1,xUSD,0.09997020000000001,0.0,0.09999993465075624,0.1009931361554685
0x37cd54128e3f569e97c8dcd2bdf60ea7737a188bd9b950adb35089de38813855,Plume,98866,xUSD,0.0,0.0,0.0,0.0
