vault_address,vault_name,chain,curator_name,response_class,peak_tvl_usd,trough_tvl_usd,tvl_drawdown_pct,share_price_drawdown_pct,depeg_week_net_flow_usd,depeg_week_withdrawal_days,max_daily_outflow_pct,peak_toxic_alloc_usd,toxic_pct_of_tvl,alloc_at_depeg_usd,stress_score
0x974c8fbf4fd795f66b85b73ebc988a51f1a040a9,Hakutora USDC,ethereum,Hakutora,SLOW_REACTOR,32814366.031934004,32023323.919077583,2.41,-0.01,-9740675.0,8.0,-15.66,0.0,0.0,0.0,0.7
0x8eb67a509616cd6a7c1b3c8c21d48ff57df3d458,Gauntlet USDC Core,ethereum,Gauntlet,PROACTIVE,39416559.90346246,38839299.54837805,1.46,-0.02,11695150.0,5.0,-23.68,104342.0,0.26,0.0,0.6
0xd50b9bbf136d1bd5cd5ac6ed9b3f26c458a6d4a6,(Deployer),ethereum,AlphaPing,EXITED_TIMING_UNKNOWN,1.170280960236589,1.1711172340150116,-0.07,-0.06,0.0,0.0,0.05,0.0,0.0,0.0,0.6
0xc582f04d8a82795aa2ff9c8bb4c1c889fe7b754e,Gauntlet USDC Frontier,ethereum,Gauntlet,PROACTIVE,69587732.66248506,68951883.79733199,0.91,-0.03,-1043098.0,6.0,-35.58,0.0,0.0,0.0,0.5
0x3de7ab60745f57fdea1205e2379261d3c81c7ba6,USDC Test,Plume,0x0000000000000000000000000000000000000000,VERY_LATE,10.497053769931751,10.50432670862648,-0.07,-0.05,0.0,0.0,0.07,0.0,0.0,0.0,0.5
0xb8c9ae462626ec6162645f3e7e3441e7918c89f0,Bandit USDC,ethereum,0x518732e780F5C9d8b67e32744213C05066E86B1C,VERY_LATE,32.968169803370216,32.98361915658998,-0.05,-0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.4
0x6ed386ee386199d0e1d9d712ef2071be433844f4,ABRC,Arbitrum,0x41D71E8f45002A9f9315d5a4279CFC0f9047610b,VERY_LATE,3684986.25240825,3685435.3410013,-0.01,-0.02,-3684986.0,5.0,-99.6,0.0,0.0,0.0,0.2
0x4c289073eb6679393890b85eec9d604271c18c28,Alpha USDC Core,Arbitrum,AlphaPing,VERY_LATE,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
0x889dd190bb6b0662db3fe0aac29eedca3d2ba22a,MEV Elixir sUSDS,ethereum,MEV Capital,VERY_LATE,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
0x38248d715336d4cad20d3e12e8dc34da596f9d6c,RIMU USDC,ethereum,0x0000000000000000000000000000000000000000,VERY_LATE,0.0101899434046664,0.0101903829088463,-0.0,0.0,0.0,3.0,-0.01,0.0,0.0,0.0,-0.0
0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,ethereum,0xA694312dEf4F67E8356fB79B7d54b3DCe79dad86,VERY_LATE,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
0xba465fcb8d32b875aed5ae9e2fb53ea303c2d312,Elixir Levered RWA vault,Plume,0x0000000000000000000000000000000000000000,EXITED_TIMING_UNKNOWN,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
0xbeefff209270748ddd194831b3fa287a5386f5bc,Smokehouse USDC,ethereum,Steakhouse Financial,EXITED_TIMING_UNKNOWN,208618164.8179021,266671007.84728464,-27.83,-0.03,-122505027.0,8.0,-42.89,0.0,0.0,0.0,-6.7
