hash,timestamp,date,datetime,block_number,type,user_address,market_unique_key,collateral_symbol,loan_symbol,seized_assets,seized_assets_usd,repaid_assets,repaid_assets_usd,bad_debt_assets_usd,liquidator
0x83105417cb4dc250d3a31a3a78421800cd4df5551e3487c0dca5784030d119b7,1765225948,2025-12-08,2025-12-08 20:32,41727290,MarketLiquidation,0x372C50019FB522A96b24437dc8D981613c5e15ea,0x8d009383866dffaac5fe25af684e93f8dd5a98fed1991c298624ecc3a860f39f,sdeUSD,pUSD,21493510795926856224284,0.0,21301672981,21297.553872777065,8947.098528380855,0x0f04909E8AC81B8727FF7f0b2EF4e9F817033978
0x9604f11476f0ab40f543b06f97c3097301c4f325fbc04e1ab189bc2ac90865db,1764174311,2025-11-26,2025-11-26 16:25,23884090,MarketLiquidation,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,sdeUSD,USDC,961921356822827945,0.001220006247866649,1003543,1.003243153294938,0.0,0x41615c2FB0Db1A187D0CcE081897aBeD0f8D1D7c
0x4070fd01815336a7b87b89afae6073764ec36e1b94180e5330f31a944f6b55a8,1763673407,2025-11-20,2025-11-20 21:16,23842870,MarketLiquidation,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,sdeUSD,USDC,1,3.106976482073187e-21,2,1.999496245329707e-06,0.0,0x80C6C6438A438Ad3b3736a02b47793D6F854f2Bf
0x9a9a60d09064c6f3cea8a7cfc693b7bf764313b4d5f1a26d087b5787e8aa34eb,1761190547,2025-10-23,2025-10-23 03:35,34723040,MarketLiquidation,0x55826f7459236341EE817F0478ee7832Cd6F2E7F,0x8d009383866dffaac5fe25af684e93f8dd5a98fed1991c298624ecc3a860f39f,sdeUSD,pUSD,39747217054147056838,0.0,39185087,39.17739890659426,0.0,0x070Fb8e20E35CD2AEA531dEBb1e4d533A5161Ab5
0x42ce87fe0269d2b37d9d286766fd6a291fe18d29bafa94268be0446b443b1755,1744241879,2025-04-09,2025-04-09 23:37,22234683,MarketLiquidation,0x743D7B30661d65B41960Bf6b5d1bB93CF7972A73,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,sdeUSD,USDC,221345488623356715408304,229418.11729163025,219780058007,219780.058007,0.0,0xA090Fc409a9f25bF8e28257D42ef6904590c8984
